Location,Crop,Region,Soil Type,Rainfall (mm),Temperature (°C),Drought Tolerance,Flood Resistance,Heat Resilience,Yield Under Stress (tons/ha)
Mizoram,Maize,West,Clay,1150.79,35.9,0.12,0.44,0.55,6.42
Jammu and Kashmir,Cotton,Central,Peaty,1100.54,24.3,0.74,0.82,0.89,4.77
Meghalaya,Soybean,Central,Loamy,722.41,29.9,0.61,0.12,0.62,6.67
Mizoram,Maize,South,Sandy,467.87,19.1,0.59,0.52,0.08,9.34
Goa,Wheat,West,Loamy,497.37,31.9,0.17,0.86,0.64,9.4
Meghalaya,Wheat,South,Peaty,1281.09,38.5,0.9,0.63,0.37,7.38
Andhra Pradesh,Soybean,North,Peaty,1288.01,19.9,0.75,0.84,0.51,9.36
Uttarakhand,Cotton,East,Peaty,747.54,17.8,0.9,0.39,0.76,8.82
Maharashtra,Maize,West,Loamy,1060.19,19.8,0.81,0.16,0.14,3.43
Telangana,Soybean,North,Peaty,258.44,28.4,0.82,0.39,0.31,9.82
Bihar,Soybean,East,Sandy,350.95,35.3,0.43,0.23,0.71,8.73
Bihar,Soybean,North,Loamy,1007.0,36.4,0.24,0.64,0.44,4.98
Maharashtra,Soybean,North,Sandy,1114.33,25.0,0.84,0.4,0.81,9.8
Haryana,Maize,East,Sandy,796.86,34.5,0.29,0.17,0.28,4.35
Odisha,Rice,South,Peaty,763.77,25.1,0.98,0.07,0.79,4.4
Sikkim,Wheat,Central,Clay,631.57,28.0,0.25,0.25,0.54,7.55
Mizoram,Wheat,West,Silt,1160.99,26.4,0.88,0.15,0.63,2.41
Sikkim,Soybean,Central,Loamy,1070.48,38.3,0.03,0.1,0.44,7.27
Uttar Pradesh,Rice,East,Clay,1327.67,39.3,0.0,0.6,0.83,2.0
Ladakh,Cotton,East,Clay,1060.6,34.3,0.69,0.09,0.55,1.38
Uttarakhand,Cotton,North,Clay,396.73,21.9,0.89,0.58,0.91,4.05
Mizoram,Cotton,East,Clay,239.98,33.7,0.3,0.54,0.16,3.1
Sikkim,Cotton,East,Loamy,632.99,29.0,0.97,0.27,0.59,1.15
Karnataka,Rice,East,Clay,1324.04,20.5,0.09,0.63,0.58,3.29
Arunachal Pradesh,Rice,North,Clay,623.07,38.8,0.59,0.31,0.66,9.08
Uttar Pradesh,Maize,North,Sandy,782.36,22.2,0.21,0.37,0.72,7.65
Arunachal Pradesh,Maize,West,Silt,359.73,33.7,0.75,0.57,0.86,9.9
Mizoram,Soybean,North,Loamy,1209.02,18.0,0.1,0.34,0.97,6.99
Kerala,Soybean,East,Peaty,1177.63,21.4,0.14,0.54,0.78,5.64
Meghalaya,Cotton,South,Clay,418.71,17.1,0.02,0.2,0.19,3.86
Nagaland,Maize,West,Peaty,706.8,35.2,0.94,0.86,0.84,2.06
Telangana,Cotton,Central,Loamy,341.28,22.4,0.04,0.23,0.12,2.0
Sikkim,Rice,East,Peaty,569.15,25.8,0.47,0.2,0.93,3.37
Rajasthan,Rice,East,Clay,390.4,21.5,0.72,0.21,0.1,8.41
Uttarakhand,Cotton,East,Silt,1122.37,32.3,0.37,0.31,0.14,9.07
Nagaland,Wheat,East,Sandy,959.62,36.6,0.96,0.02,0.96,2.97
Himachal Pradesh,Wheat,South,Silt,1225.68,27.2,0.14,0.93,0.81,8.25
Delhi,Cotton,Central,Silt,332.86,30.9,0.89,0.74,0.92,1.73
Sikkim,Rice,East,Clay,593.85,26.2,0.62,0.37,0.87,4.91
Bihar,Wheat,West,Loamy,1231.57,36.4,0.66,0.86,0.25,5.32
Sikkim,Wheat,South,Sandy,297.32,27.9,0.14,0.82,0.79,7.02
Tamil Nadu,Soybean,Central,Sandy,525.74,25.1,0.23,0.97,0.88,4.15
Meghalaya,Wheat,West,Loamy,1047.72,29.7,0.29,0.07,0.1,3.39
Tamil Nadu,Cotton,East,Sandy,372.46,30.4,0.35,0.91,0.19,8.94
Himachal Pradesh,Wheat,East,Silt,1018.76,17.9,0.97,0.42,0.07,6.46
West Bengal,Maize,North,Sandy,1409.1,33.4,0.51,0.72,0.71,4.58
Assam,Wheat,West,Loamy,451.99,20.4,0.75,0.86,0.99,9.67
Telangana,Cotton,East,Sandy,492.27,19.2,0.84,0.75,0.0,7.28
Telangana,Wheat,Central,Sandy,212.12,21.2,0.53,0.02,0.44,3.72
Assam,Maize,South,Silt,1496.83,24.4,0.73,0.76,0.39,9.95
Bihar,Soybean,East,Silt,421.72,34.6,0.0,0.42,0.49,6.07
Uttar Pradesh,Wheat,North,Loamy,1357.61,20.5,0.03,0.53,0.32,9.39
Delhi,Wheat,East,Peaty,1392.49,37.0,0.71,0.81,0.16,8.97
Goa,Rice,East,Loamy,459.31,15.3,0.33,0.3,0.72,3.47
Tamil Nadu,Rice,West,Clay,1151.52,20.3,0.15,0.05,0.32,9.58
